Latitude	Longitude	MMI	Location
-33.6839	138.9403	2.0	Kooringa
-38.1106	143.1049	4.0	Koortnong
-38.2921	142.3667	3.0	Koroit
-36.3099	145.0480	3.0	Kyabram
-37.6136	140.5878	0.0	Lake Leake
-37.5254	141.0320	4.0	Lake Mundi
-37.2763	144.7329	4.0	Lancefield
-36.8247	143.9130	3.0	Laanecoorie
-34.8263	138.4961	4.0	Largs Bay
-33.1851	138.3016	4.0	Laura
-30.5543	138.4247	0.0	Leigh Creek
-36.3612	141.1151	6.0	Lillimur
-37.6841	143.5613	4.0	Linton
-36.8231	140.5921	6.0	Lochaber
-36.6912	142.4029	5.0	Longerenong
-36.7467	142.5494	3.0	Lubeck
-36.9723	140.3685	6.5	Lucindale
-34.2577	140.6481	4.0	Lyrup
-38.0333	141.9983	5.5	MacArthur
-35.2152	138.5372	5.5	McLaren Vale (MacLaren Vale)
-34.9104	138.6753	3.0	Magill
-34.3740	137.6730	4.0	Maitland
-36.9901	144.0651	5.0	Maldon
-34.4380	138.5097	4.0	Mallala
-37.1888	144.3818	4.0	Malmsbury
-33.0430	138.6200	4.0	Mannanarie
-34.9137	139.3058	6.0	Mannum
-34.1415	138.8773	6.0	Marrabel
-37.0501	143.7398	3.0	Maryborough
-37.8138	144.9632	5.0	Melbourne
-32.3942	142.4206	F	Menindee
-35.6895	139.3390	4.0	Meningie
-37.8438	144.0726	F	Meredith
-37.7193	141.5493	5.0	Merino
-35.4047	138.9727	4.0	Milang
-34.1818	142.1632	4.0	Mildura
-37.5930	140.3484	7.0	Millicent
-34.7711	137.5955	4.0	Minlaton
-33.9173	138.7215	4.0	Mintaro
-36.4581	142.5892	4.0	Minyip
-34.9791	138.6203	4.0	Mitcham
-36.1150	144.7511	4.0	Moama
-35.0803	139.1312	4.0	Monarto
-34.0667	137.5889	5.0	Moonta
-34.0331	139.6701	4.0	Morgan
-35.1243	138.5283	4.0	Morphett Vale
-36.7253	141.3731	6.0	Mortat (Goroke)
-38.0807	142.8054	4.0	Mortlake
-35.0666	138.8607	4.0	Mount Barker
-37.8241	140.7798	6.0	Mount Gambier
-38.1916	142.9285	4.0	Noorat (Mount Noorat)
-34.7736	139.0500	6.0	Mount Pleasant
-36.7875	140.0881	6.0	Mount Scott
-37.0326	141.9822	6.0	Mount Talbot
-36.3599	140.6921	6.0	Mundulla
-36.6224	145.2184	4.0	Murchison
-36.4248	142.2455	4.0	Murra Warra
-35.1187	139.2745	4.0	Murray Bridge
-36.6142	142.4716	4.0	Murtoa
-36.9793	145.7145	4.0	Murton (Merton?)
-38.0063	141.7203	5.0	Myamyn
-36.2296	143.7551	4.0	Mysia
-35.0366	138.9129	4.0	Nairne
-34.0064	138.2266	3.0	Nantawarra
-36.9550	140.7429	6.0	Narracoorte
-36.7397	141.9470	5.0	Natimuk
-36.8992	143.1111	5.0	Navarre
-36.7030	141.0296	6.0	Neuarpurr
-NA-	-NA-	6.0	Newlands
-36.3325	141.6555	5.0	Nhill
-35.1402	138.4923	4.0	Noarlunga
-37.0022	139.8005	L	Noolook
-36.8372	141.9628	4.5	Noradjuha
-35.4457	138.3159	4.0	Normanville
-34.9223	138.7243	4.0	Norton Summit
-36.0925	145.4374	F	Numurkah
-34.4733	138.9953	6.0	Nuriootpa
-34.7193	138.7653	3.0	Onetree Hill
-32.7337	138.6134	F	Orroroo
-38.7843	143.5446	F	Otway (region)
-34.1502	140.3331	3.0	Overland Corner
-34.0403	137.9054	4.0	Paskerville
